로봇 수리 고도화_반도체 웨이퍼 반송,월급 | 200만원 ~ 220만원,정규 | 주5일,,담당업무 :  업무 : 하기 업무 전체 또는 일부 1. 반도체웨이퍼 반송 로봇의 분해⋅조립 작업절차(서) 고도화 ① 정밀기계 분해 조립 경력 우대 ②...,경력20년 | 고졸 | ~ 박사 경기도
연구전담부서 소장 및 팀원 모집,월급 | 185만원 이상,정규 | 주6일,08:30 ~ 18:00,담당업무 :  셀프세차장. 자동차광막 연구개발 업무 관련 자격증 소지자우대 10년이상 경력자우대,경력10년 | 대졸(2~3년) | ~ 대졸(4년) 광주광역시
"JAVA, JAVASCRIPT 프로그래밍 개발인력을 모집합니다.","연봉 | 4,000만원 ~ 7,000만원",정규 | 주5일,09:00 ~ 18:00,"담당업무 :  자바 프로그래밍 개발 업무 설계 및 분석 CRM, ERP개발",경력15년 | 대졸(2~3년) | ~ 석사 서울특별시
"건설기초안전교육강사. 안동시 근무 (건설안전1명), 정년 없음",월급 | 210만원 이상,시간 | (장기),,담당업무 :  건설근로자들이 건설현장에 취업하기 전 받는 법정 기초안전교육 교안 있음 교육생들이 매일 바뀌므로 처음 1일 정도만 지나면 익숙해...,경력7년 | 학력무관 | 경상북도 안동시 경동로
LED전광판 개발 기술자 모집,"연봉 | 2,800만원 ~ 3,500만원",비정규 | 주5일,09:00 ~ 18:00,"담당업무 :  LED전광판 기술 개발 (H/W , S/W) , 전광판 관련 개발 및 특허 인증 업무",경력5년 | 대졸(4년) | ~ 박사 서울특별시
직업훈련교사-전기직종 훈련교사 채용,월급 | 300만원 ~ 350만원,정규 | 주5일,09:00 ~ 18:00,"담당업무 :  [ 실업자일반(주간)반 / 재직자(야간)반 ] 전기내선공사(전기기능사) 자격취득을 목표로 하는 과정에서 필기, 실기 교육 및 훈련생 지...",경력5년 | 대졸(4년) | 강원도 춘천시 동내면
"제어판넬 설계,제작,설치,전기공사 업무가능 직원 모집","연봉 | 3,000만원 ~ 4,000만원",정규 | 주5일,08:30 ~ 18:30,"담당업무 :  - 제어판넬 설계,제작 및 설치,전기공사 업무(PLC.터치판넬 제작 경력자) - 인근거주자, 이공계 우대 - 08:30~18:30(주5일근무)",경력3년 | 고졸 | ~ 대졸(2~3년) 경기도
금형 설계 및 캐드 사무원 모집합니다. (삼랑진 공장근무자),"시급 | 11,000원 이상",정규 | 주5일,,"담당업무 :  금형 설계 도면 작성 및 3D 변환, 조선 해양 의장관련 설계 경험자 및 건설기계관련 경험자 건축 디자인도 가능한분 우대.",경력20년 | 학력무관 | 경상남도 밀양시 삼랑진읍
도금협동화 단지 환경 및 시설 관리 모집,"연봉 | 2,400만원 ~ 2,600만원",정규 | 주5일,,담당업무 :  당사에서는 도금단지 폐수처리장 운영 및 대기방지시설의 환경 시설 관리와 단지내 시설관리를 같이 할 사원분을 채용합니다. 근무시...,경력무관 | 학력무관 | 인천광역시 남동구 승기천로
"자동화 설비 PLC,PC 제어설계 경력","연봉 | 3,000만원 ~ 6,000만원",정규 | 주5일,10:00 ~ 19:00,"담당업무 :  반도체 및 디스플레이 장비 제어, 운영 프로그램 개발 자동화 설비 제어, 운영 프로그램 개발 PLC(Mitsubishi, Omron, AB), PC ...",경력1년 | 대졸(2~3년) | ~ 석사 충청남도
